;Release

N=9000 M=256
Pool   Time : 0.002649
Malloc Time : 0.003847

N=9000 M=504
Pool   Time : 0.005348
Malloc Time : 0.005704

N=9000 M=512
Pool   Time : 0.014309
Malloc Time : 0.006709

N=9000 M=1016
Pool   Time : 0.014452
Malloc Time : 0.010980

N=9000 M=1024
Pool   Time : 0.044515
Malloc Time : 0.010967


N=10000 M=16
Pool   Time : 0.000562
Malloc Time : 0.001849

N=10000 M=16
Pool   Time : 0.000547
Malloc Time : 0.001824

N=10000 M=32
Pool   Time : 0.000680
Malloc Time : 0.002158

N=10000 M=64
Pool   Time : 0.001065
Malloc Time : 0.002364

N=10000 M=128
Pool   Time : 0.001643
Malloc Time : 0.003157

N=10000 M=256
Pool   Time : 0.002932
Malloc Time : 0.004572

N=10000 M=375
Pool   Time : 0.006178
Malloc Time : 0.005237

N=10000 M=504
Pool   Time : 0.006004
Malloc Time : 0.006747

N=90000 M=8
Pool   Time : 0.004030
Malloc Time : 0.013717

N=90000 M=64
Pool   Time : 0.010498
Malloc Time : 0.022651

N=90000 M=375
Pool   Time : 0.241770
Malloc Time : 0.052882

N=90000 M=500
Pool   Time : 0.249433
Malloc Time : 0.114241




===
## 260507
Debug
N       M       Pool    Malloc
11000   16      0.0003  0.0012
11000   32      0.0005  0.0014
11000   64      0.0008  0.0015
11000   128     0.0015  0.0023
11000   256     0.0031  0.0029
11000   512     0.0194  0.0047
11000   1024    0.0641  0.0091
11000   2048    0.2176  0.0148
16000   8       0.0004  0.0015
16000   16      0.0004  0.0018
16000   32      0.0007  0.0021
16000   64      0.0012  0.0024
16000   128     0.0022  0.0028
16000   256     0.0049  0.0042
16000   512     0.0361  0.0066
16000   1024    0.1233  0.0116
16000   2048    0.4521  0.0218

### msvc release 32KB + Arena

N       M       Pool    Malloc  Arena
1000    8       0.0000  0.0001  0.0000
1000    16      0.0000  0.0001  0.0000
1000    32      0.0000  0.0001  0.0002
1000    64      0.0001  0.0002  0.0001
1000    128     0.0001  0.0003  0.0001
1000    256     0.0002  0.0004  0.0002
1000    512     0.0007  0.0005  0.0003
1000    1024    0.0015  0.0008  0.0006
1000    2048    0.0031  0.0016  0.0010
1000    4096    0.0061  0.0024  0.0020
6000    8       0.0001  0.0005  0.0001
6000    16      0.0002  0.0007  0.0001
6000    32      0.0002  0.0007  0.0002
6000    64      0.0004  0.0008  0.0002
6000    128     0.0006  0.0012  0.0004
6000    256     0.0012  0.0016  0.0008
6000    512     0.0058  0.0026  0.0015
6000    1024    0.0155  0.0043  0.0028
6000    2048    0.0482  0.0076  0.0057
6000    4096    0.1674  0.0154  0.0118
11000   8       0.0002  0.0010  0.0001
11000   16      0.0005  0.0012  0.0002
11000   32      0.0005  0.0014  0.0003
11000   64      0.0008  0.0015  0.0004
11000   128     0.0012  0.0018  0.0007
11000   256     0.0022  0.0028  0.0014
